Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1.0,2647,1587.0,173.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.5,16667,2250.0,86.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.25,4885,0.0,48.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.25,4758,0.0,158.0,480.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,5500,0.0,105.0,360.0,0.0,1,0,0,1,1,0,0,1,1,0,0
0.25,5124,0.0,124.0,345.6,0.0,0,1,1,0,1,0,1,0,1,0,0
0.25,2995,0.0,60.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,1820,1769.0,95.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.5,1000,3022.0,110.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.25,3358,0.0,80.0,36.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.5,7250,1667.0,110.0,345.6,0.0,0,1,0,1,1,0,1,0,0,0,1
1.0,3430,1250.0,128.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2833,0.0,71.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
1.0,10139,0.0,260.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.25,3620,0.0,25.0,120.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.25,2609,3449.0,165.0,180.0,0.0,0,1,0,1,0,1,0,1,1,0,0
0.75,4400,0.0,127.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2253,2033.0,110.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.25,3254,0.0,50.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
1.0,23803,0.0,370.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,7142,0.0,138.0,360.0,1.0,1,0,0,1,0,1,0,1,1,0,0
0.25,5800,0.0,132.0,360.0,1.0,0,1,1,0,0,1,0,1,0,1,0
0.75,5935,0.0,133.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,1928,1644.0,100.0,360.0,1.0,1,0,0,1,0,1,1,0,0,1,0
0.25,2583,2115.0,120.0,360.0,0.8793103448275862,0,1,0,1,1,0,1,0,0,0,1
1.0,5677,1424.0,100.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.75,16666,0.0,275.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,10750,0.0,312.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,4100,0.0,124.0,360.0,0.8793103448275862,1,0,0,1,0,1,1,0,1,0,0
0.25,2333,1516.0,95.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.75,3510,4416.0,243.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2768,1950.0,155.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3229,2739.0,110.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.5,2679,1302.0,94.0,360.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.25,674,5296.0,168.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.5,3315,0.0,96.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,4616,0.0,134.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,1916,5063.0,67.0,360.0,0.8793103448275862,0,1,1,0,1,0,1,0,1,0,0
0.75,6125,1625.0,187.0,480.0,1.0,0,1,0,1,0,1,1,0,0,1,0
0.25,150,1800.0,135.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2473,1843.0,159.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,5000,3667.0,236.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,4226,1040.0,110.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
1.0,3029,0.0,99.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,9166,0.0,244.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,1926,1851.0,50.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,14999,0.0,242.0,360.0,0.0,0,1,1,0,1,0,1,0,0,1,0
0.75,6540,0.0,205.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.75,1600,20000.0,239.0,360.0,1.0,0,1,0,1,1,0,0,1,0,0,1
0.75,5185,0.0,155.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2014,1929.0,74.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
1.0,4707,1993.0,148.0,360.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.25,2130,6666.0,70.0,180.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,1025,2773.0,112.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,4817,923.0,120.0,180.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,13262,0.0,40.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.5,12000,0.0,496.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,15759,0.0,55.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1,0
0.5,1625,1803.0,96.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3167,0.0,74.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,3017,663.0,102.0,360.0,0.8793103448275862,1,0,0,1,0,1,1,0,0,1,0
0.75,4865,5624.0,208.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
