Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0.25,4843,3806.0,151.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,3167,2283.0,154.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,12000,0.0,164.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,3463,0.0,122.0,360.0,0.8351893095768375,1,0,1,0,1,0,0,1,0,0,1
0.25,2971,2791.0,144.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,3750,0.0,113.0,480.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,2060,2209.0,134.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,4333,2451.0,110.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,5316,0.0,136.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.5,1880,0.0,61.0,360.0,0.8351893095768375,0,1,0,1,1,0,1,0,1,0,0
0.25,2917,536.0,66.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.75,6383,1000.0,187.0,360.0,1.0,0,1,0,1,0,1,0,1,1,0,0
0.25,7333,0.0,120.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.25,2423,505.0,130.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,5941,4232.0,296.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
1.0,3466,3428.0,150.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,7660,0.0,104.0,360.0,0.0,0,1,0,1,0,1,1,0,0,0,1
0.25,2666,4300.0,121.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3816,754.0,160.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2698,2034.0,122.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,2895,0.0,95.0,360.0,1.0,0,1,0,1,1,0,0,1,0,1,0
0.25,3748,1668.0,110.0,360.0,1.0,0,1,1,0,0,1,1,0,0,1,0
0.75,2500,1840.0,109.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,2726,0.0,106.0,360.0,0.0,0,1,0,1,1,0,0,1,0,1,0
1.0,416,41667.0,350.0,180.0,0.8351893095768375,1,0,1,0,1,0,1,0,0,0,1
0.25,2167,2400.0,115.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.75,1299,1086.0,17.0,120.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,4750,2333.0,130.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
1.0,7740,0.0,128.0,180.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,3867,0.0,62.0,360.0,1.0,1,0,1,0,0,1,0,1,0,1,0
0.25,3366,2200.0,135.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3750,0.0,100.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,3708,2569.0,173.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.75,17500,0.0,400.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.25,2550,2042.0,126.0,360.0,1.0,0,1,1,0,0,1,1,0,1,0,0
0.75,3800,3600.0,216.0,360.0,0.0,0,1,0,1,1,0,1,0,0,0,1
0.75,6700,1750.0,230.0,300.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3988,0.0,50.0,240.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,6875,0.0,200.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
1.0,3167,4000.0,180.0,300.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2400,2167.0,115.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,9963,0.0,180.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.5,4608,2845.0,140.0,180.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.25,4180,2306.0,182.0,360.0,1.0,1,0,0,1,1,0,1,0,0,1,0
0.5,2787,1917.0,146.0,360.0,0.0,0,1,0,1,1,0,1,0,1,0,0
0.25,3400,0.0,95.0,360.0,1.0,1,0,1,0,0,1,1,0,1,0,0
0.25,2785,2016.0,110.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.25,2425,2340.0,143.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2500,0.0,67.0,360.0,1.0,1,0,1,0,1,0,1,0,0,0,1
0.25,2920,16.12000084,87.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,6250,1300.0,108.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.5,6608,0.0,137.0,180.0,1.0,0,1,0,1,0,1,1,0,0,0,1
