Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0.5,3400,2500.0,173.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3418,0.0,135.0,360.0,1.0,1,0,1,0,1,0,1,0,1,0,0
0.25,1820,1719.0,100.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.25,2221,0.0,60.0,360.0,0.0,0,1,0,1,1,0,1,0,0,0,1
0.25,3086,0.0,120.0,360.0,1.0,1,0,1,0,1,0,1,0,0,1,0
1.0,5167,3167.0,200.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,2366,2531.0,136.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
0.25,5667,2667.0,180.0,360.0,1.0,0,1,0,1,1,0,1,0,1,0,0
0.75,2281,0.0,113.0,360.0,1.0,0,1,0,1,0,1,1,0,1,0,0
0.25,3087,2210.0,136.0,360.0,0.0,0,1,0,1,1,0,1,0,0,1,0
0.5,3667,0.0,113.0,180.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.25,2600,1911.0,116.0,360.0,0.0,0,1,0,1,0,1,1,0,0,1,0
0.5,3466,1210.0,130.0,360.0,1.0,0,1,0,1,1,0,0,1,1,0,0
0.25,5815,3666.0,311.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,14583,0.0,436.0,360.0,1.0,0,1,0,1,1,0,1,0,0,1,0
0.25,3660,5064.0,187.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
1.0,4281,0.0,100.0,360.0,1.0,0,1,0,1,1,0,1,0,0,0,1
0.5,37719,0.0,152.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
1.0,3522,0.0,81.0,180.0,1.0,0,1,0,1,0,1,1,0,1,0,0
1.0,4333,1811.0,160.0,360.0,0.0,0,1,0,1,1,0,1,0,0,0,1
0.5,4554,1229.0,158.0,360.0,1.0,0,1,0,1,0,1,1,0,0,0,1
0.25,4750,0.0,94.0,360.0,1.0,0,1,1,0,1,0,1,0,0,1,0
1.0,12500,3000.0,320.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
1.0,9167,0.0,185.0,360.0,1.0,0,1,1,0,1,0,1,0,1,0,0
0.25,1800,1213.0,47.0,360.0,1.0,0,1,1,0,1,0,1,0,0,0,1
0.75,3365,1917.0,112.0,360.0,0.0,0,1,0,1,0,1,1,0,1,0,0
